"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-94.067","61.100","ARVIAT CLIMATE","2301153","NU","-25.6","0","NA","-6.4","0","-38.9","0","","","NA","47.4","0","NA","","19","","","NA","1351.9","0.0"
"-95.850","68.636","GJOA HAVEN A","2302335","NU","-29.1","11","4.7","-12.4","11","-37.2","11","5.0","11","NA","5.0","11","NA","","2","","","NA","941.4","0.0"
"-95.850","68.636","GJOA HAVEN CLIMATE","2302340","NU","-29.5","0","NA","-8.5","0","-38.5","0","32.0","24","NA","3.9","1","NA","56.0","0","","","NA","1472.5","0.0"
"-100.087","68.318","HAT ISLAND","2302370","NU","-27.9","0","NA","-7.4","0","-36.9","0","","","NA","","","NA","","","","","NA","1422.1","0.0"
"-89.797","68.541","KUGAARUK A","2303092","NU","-28.8","1","4.7","-13.0","1","-42.5","1","20.2","1","NA","20.2","1","NA","16.0","5","","","NA","1404.6","0.0"
"-89.726","68.437","CAM FOUR","2303093","NU","-27.6","4","NA","-15.2","4","-37.2","3","","","NA","","","NA","","","","","NA","1231.5","0.0"
"-89.796","68.538","KUGAARUK CLIMATE","2303094","NU","-28.7","0","NA","-13.0","0","-42.6","0","","","NA","7.0","0","NA","2.0","2","","","NA","1447.3","0.0"
"-92.117","62.817","RANKIN INLET A","2303401","NU","-26.6","0","4.3","-8.7","0","-39.5","0","10.8","0","122.0","10.8","0","124.0","39.0","5","","","NA","1381.6","0.0"
"-102.429","65.100","ROBERTSON LAKE (AUT)","2303610","NU","-28.0","0","NA","-4.7","0","-42.0","0","","","NA","10.5","5","NA","","4","","","NA","1425.2","0.0"
"-93.433","68.817","SHEPHERD BAY A","2303685","NU","-31.0","0","NA","-10.7","0","-41.2","0","","","NA","","","NA","","","","","NA","1518.0","0.0"
"-92.598","62.240","WHALE COVE A","2303986","NU","-24.9","1","5.7","-8.0","1","-43.5","1","36.2","1","NA","36.2","1","NA","37.0","5","","","NA","1286.6","0.0"
"-119.219","69.276","CROKER RIVER","230J01Q","NU","-21.8","0","NA","4.6","0","-34.9","0","","","NA","","","NA","","","","","NA","1234.8","0.0"
"-111.246","65.755","LUPIN CS","230N002","NU","-26.7","10","NA","-3.6","8","-41.1","9","10.0","27","NA","5.5","12","NA","","2","","","NA","938.2","0.0"
"-62.333","82.500","ALERT CLIMATE","2400305","NU","-26.9","0","NA","-2.8","0","-37.1","0","","","NA","12.5","0","NA","","4","","","NA","1391.5","0.0"
"-62.333","82.500","ALERT UA","2400306","NU","","","NA","","","","","10.2","1","NA","6.8","1","NA","38.0","3","","","NA","",""
"-85.012","72.993","ARCTIC BAY CS","2400404","NU","-27.1","7","NA","-6.4","6","-35.5","4","","","NA","2.6","18","NA","","1","","","NA","1083.1","0.0"
"-64.146","63.340","BREVOORT ISLAND","2400565","NU","-20.0","0","NA","-1.8","0","-42.4","0","","","NA","","","NA","","","","","NA","1178.2","0.0"
"-63.789","67.536","FOX FIVE","2400570","NU","-21.4","2","NA","-1.2","2","-30.1","1","","","NA","","","NA","","","","","NA","1143.6","0.0"
"-64.031","67.546","QIKIQTARJUAQ AWOS","2400571","NU","-24.0","0","NA","-9.6","0","-35.1","0","","","NA","","","NA","","","","","NA","1303.2","0.0"
"-64.031","67.546","QIKIQTARJUAQ A","2400572","NU","-24.1","0","NA","-9.5","0","-35.0","0","5.0","0","NA","5.0","0","NA","80.0","3","","","NA","1305.7","0.0"
"-64.033","67.547","QIKIQTARJUAQ CLIMATE","2400573","NU","-24.0","0","NA","-9.6","0","-35.5","0","","","NA","3.4","0","NA","","0","","","NA","1301.0","0.0"
"-105.138","69.108","CAMBRIDGE BAY A","2400600","NU","-27.9","0","4.0","-7.4","0","-39.2","0","11.6","0","174.0","11.0","0","189.0","23.0","3","","","NA","1424.4","0.0"
"-105.138","69.108","CAMBRIDGE BAY GSN","2400602","NU","-27.8","0","NA","-7.2","0","-39.1","0","11.0","27","NA","8.5","0","NA","4.0","3","","","NA","1419.2","0.0"
"-76.527","64.230","CAPE DORSET AWOS","2400634","NU","-21.5","0","NA","-7.2","0","-29.8","0","","","NA","","","NA","","","","","NA","1225.6","0.0"
"-76.525","64.230","CAPE DORSET A","2400635","NU","-22.1","15","2.9","-7.1","15","-34.8","15","15.4","15","NA","15.4","15","NA","","3","","","NA","640.9","0.0"
"-76.531","64.231","CAPE DORSET CLIMATE","2400636","NU","-21.4","0","NA","-7.1","0","-29.8","0","","","NA","13.0","0","NA","","6","","","NA","1222.2","0.0"
"-66.815","68.473","CAPE HOOPER","2400660","NU","-22.6","0","NA","-8.7","0","-30.4","0","","","NA","","","NA","","","","","NA","1260.1","0.0"
"-107.823","69.036","CAPE PEEL WEST","2400697","NU","-27.5","0","NA","-5.4","0","-36.8","0","","","NA","","","NA","","","","","NA","1409.4","0.0"
"-68.517","70.486","CLYDE AWOS","2400801","NU","-24.9","0","NA","-10.2","0","-36.5","0","","","NA","","","NA","","","","","NA","1331.3","0.0"
"-68.517","70.483","CLYDE RIVER CLIMATE","2400802","NU","-25.2","0","NA","-10.4","0","-36.8","0","2.0","30","NA","","","NA","48.0","","","","NA","1340.2","0.0"
"-63.578","64.958","CAPE MERCY","2400F63","NU","-18.3","0","NA","-2.5","0","-31.9","0","","","NA","","","NA","","","","","NA","1124.6","0.0"
"-71.167","68.650","DEWAR LAKES","2401030","NU","-21.9","0","NA","-7.2","0","-34.1","0","","","NA","","","NA","","","","","NA","1238.3","0.0"
"-85.933","79.983","EUREKA","2401200","NU","-34.0","0","2.6","-13.0","0","-43.1","0","2.2","0","70.0","0.6","0","23.0","3.0","0","","","NA","1610.8","0.0"
"-82.900","76.417","GRISE FIORD","2402346","NU","-30.9","17","NA","-18.0","17","-40.0","17","0.0","17","NA","0.0","17","NA","","0","","","NA","684.5","0.0"
"-81.243","68.776","HALL BEACH A","2402350","NU","-27.0","0","4.8","-11.9","0","-38.3","0","12.4","0","169.0","12.4","0","202.0","19.0","5","","","NA","1395.5","0.0"
"-82.902","76.423","GRISE FIORD CLIMATE","2402351","NU","-28.9","0","NA","-0.6","0","-39.3","0","25.0","29","NA","25.1","0","NA","","6","","","NA","1453.4","0.0"
"-81.244","68.776","HALL BEACH AWOS","2402352","NU","-27.6","0","NA","-12.4","0","-38.2","0","","","NA","","","NA","","","","","NA","1412.4","0.0"
"-81.244","68.776","HALL BEACH CLIMATE","2402353","NU","-27.6","0","NA","-12.4","0","-38.5","0","","","NA","2.6","2","NA","","1","","","NA","1413.3","0.0"
"-81.817","69.367","IGLOOLIK A","2402543","NU","-27.3","1","4.3","-15.5","1","-36.0","1","9.6","1","NA","9.6","1","NA","","4","","","NA","1359.6","0.0"
"-68.550","63.750","IQALUIT AWOS","2402591","NU","-24.4","0","NA","-3.5","0","-36.0","0","","","NA","","","NA","","","","","NA","1314.6","0.0"
"-68.544","63.747","IQALUIT CLIMATE","2402592","NU","-24.4","0","NA","-3.5","0","-36.4","0","","","NA","1.6","0","NA","","0","","","NA","1315.6","0.0"
"-68.550","63.750","IQALUIT UA","2402594","NU","","","NA","","","","","4.3","4","NA","4.3","4","NA","","3","","","NA","",""
"-103.554","78.792","ISACHSEN (AUT)","2402604","NU","-28.8","7","NA","-16.2","7","-36.5","6","4.0","27","NA","0.0","10","NA","","0","","","NA","1124.2","0.0"
"-75.141","68.899","LONGSTAFF BLUFF","2402684","NU","-25.0","0","NA","-7.8","0","-37.2","0","","","NA","","","NA","","","","","NA","1333.4","0.0"
"-84.617","72.983","NANISIVIK A","2402730","NU","-26.6","17","3.0","-12.5","17","-33.5","17","1.4","17","NA","1.4","17","NA","","1","","","NA","624.5","0.0"
"-65.711","66.143","PANGNIRTUNG","2403049","NU","-23.6","0","NA","2.0","0","-34.1","0","","","NA","23.0","1","NA","","2","","","NA","1289.1","0.0"
"-65.714","66.145","PANGNIRTUNG A","2403053","NU","-23.2","10","NA","2.5","10","-33.9","10","19.6","10","NA","21.4","10","NA","","2","","","NA","864.5","0.0"
"-77.969","72.689","POND INLET A","2403201","NU","","","","","","","","0.0","0","0.0","0.0","0","0.0","15.0","0","","","NA","",""
"-77.969","72.689","POND INLET AWOS","2403202","NU","-29.9","0","NA","-8.3","0","-38.2","0","","","NA","","","NA","","","","","NA","1486.4","0.0"
"-77.958","72.693","POND INLET CLIMATE","2403204","NU","-29.9","0","NA","-8.3","0","-38.3","0","","","NA","1.7","1","NA","","1","","","NA","1486.0","0.0"
"-105.715","75.377","REA POINT","2403450","NU","-28.1","0","NA","-15.2","0","-39.6","0","","","NA","","","NA","","","","","NA","1428.8","0.0"
"-86.225","66.521","REPULSE BAY A","2403490","NU","-27.3","0","4.0","-13.2","0","-37.0","0","48.7","0","260.0","48.7","0","264.0","10.0","14","","","NA","1403.6","0.0"
"-94.986","74.717","RESOLUTE CARS","2403500","NU","-28.9","0","3.1","-10.5","0","-37.5","0","9.8","0","203.0","9.8","0","232.0","15.0","4","","","NA","1453.6","0.0"
"-94.983","74.716","RESOLUTE CS","2403505","NU","-28.5","0","NA","-10.4","0","-37.6","0","8.0","26","NA","","","NA","2.0","","","","NA","1442.1","0.0"
"-64.633","61.600","RESOLUTION ISLAND","2403602","NU","-18.8","0","NA","-9.6","0","-30.1","0","","","NA","","","NA","","","","","NA","1141.0","0.0"
"-79.033","69.083","ROWLEY ISLAND","2403625","NU","-24.7","0","NA","-12.1","0","-34.2","0","","","NA","","","NA","","","","","NA","1322.9","0.0"
"-105.296","73.766","STEFANSSON ISLAND","2403756","NU","-28.3","0","NA","-13.0","0","-38.6","0","","","NA","73.9","3","NA","","11","","","NA","1436.7","0.0"
"-93.577","69.547","TALOYOAK A","2403854","NU","-30.1","0","3.6","-12.6","0","-40.1","0","10.8","0","117.0","8.0","0","95.0","21.0","4","","","NA","1490.8","0.0"
"-89.446","65.879","WAGER BAY (AUT)","2403945","NU","-26.0","0","NA","-9.0","0","-35.8","0","","","NA","9.6","0","NA","","4","","","NA","1364.4","0.0"
"-119.989","74.139","AULAVIK NATIONAL PARK","2500440","NT","-28.1","0","NA","-3.3","0","-39.7","0","19.0","25","NA","","","NA","27.0","","","","NA","1428.9","0.0"
"-117.800","70.761","HOLMAN CS","2502505","NT","-27.0","0","NA","-6.0","0","-39.0","0","","","NA","8.7","7","NA","12.0","3","","","NA","1393.9","0.0"
"-125.254","71.993","SACHS HARBOUR CLIMATE","2503648","NT","-28.1","0","NA","-4.7","0","-40.0","0","","","NA","5.9","0","NA","","2","","","NA","1429.4","0.0"
"-119.538","73.231","THOMSEN RIVER","2503886","NT","-31.4","0","NA","-1.2","0","-45.3","0","30.0","23","NA","","","NA","22.0","","","","NA","1530.9","0.0"
"-112.967","54.283","ABEE AGDM","3010010","AB","-15.5","0","NA","8.0","0","-44.6","0","","","NA","16.7","4","NA","","7","","","NA","1039.4","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","-13.2","2","NA","7.8","2","-37.2","1","","","NA","8.6","9","NA","","5","","","NA","905.6","0.0"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","-10.4","1","NA","8.3","1","-36.2","0","","","NA","4.3","8","NA","","2","","","NA","851.8","0.0"
"-112.233","54.017","ANDREW","3010234","AB","-16.5","14","-3.1","4.0","14","-42.0","14","19.0","14","NA","19.0","14","NA","","5","","","NA","587.0","0.0"
"-112.279","53.917","ANDREW AGDM","3010237","AB","-15.7","0","NA","5.4","0","-42.9","0","","","NA","12.0","5","NA","","5","","","NA","1046.1","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","-12.8","0","NA","6.8","0","-35.7","0","","","NA","5.6","6","NA","","1","","","NA","956.2","0.0"
"-110.101","52.124","BODO AGDM","3010730","AB","-13.1","0","NA","8.4","0","-35.7","0","","","NA","3.9","4","NA","","1","","","NA","964.3","0.0"
"-114.483","53.167","BRETON","3010815","AB","-9.5","0","NA","10.0","0","-34.0","0","27.0","0","NA","0.0","0","NA","35.0","0","","","NA","851.5","0.0"
"-114.441","53.089","BRETON PLOTS","3010816","AB","-8.1","0","NA","16.4","0","-35.6","0","","","NA","16.7","0","NA","","7","","","NA","809.7","0.0"
"-113.717","52.983","BRIGHTVIEW","3010830","AB","-10.4","3","-0.2","13.5","3","-37.0","3","25.6","3","NA","25.6","3","NA","","8","","","NA","796.2","0.0"
"-111.469","52.319","BROWNFIELD","3010890","AB","-12.5","0","-0.2","10.0","0","-38.0","0","4.5","0","20.0","4.5","0","18.0","3.0","3","","","NA","946.5","0.0"
"-113.889","53.997","BUSBY","3010978","AB","-10.8","3","NA","12.0","3","-37.5","2","22.2","2","NA","22.2","2","NA","29.0","10","","","NA","807.7","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","-12.1","1","NA","9.1","1","-39.5","0","","","NA","7.4","10","NA","","2","","","NA","901.8","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","-12.8","3","NA","7.3","3","-36.0","0","","","NA","4.0","9","NA","","2","","","NA","863.3","0.0"
"-112.817","53.050","CAMROSE","3011240","AB","-12.4","0","-0.9","7.8","0","-40.5","0","","","NA","8.2","0","36.0","4.0","1","","","NA","943.3","0.0"
"-112.800","52.950","CAMROSE 2","3011241","AB","-14.9","9","NA","7.0","5","-39.0","6","10.5","0","NA","10.5","0","NA","0.0","4","","","NA","723.8","0.0"
"-114.654","53.234","CARNWOOD","3011350","AB","-11.0","2","NA","15.0","2","-39.0","2","25.0","2","NA","25.0","2","NA","27.0","7","","","NA","839.6","0.0"
"-111.250","53.550","CHAILEY","3011474","AB","-13.6","8","-0.2","16.0","8","-39.5","8","10.5","8","NA","10.5","8","NA","22.0","3","","","NA","725.9","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","-12.7","0","NA","7.5","0","-34.0","0","","","NA","2.5","3","NA","","1","","","NA","952.6","0.0"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","-13.4","0","NA","5.4","0","-38.4","0","5.0","27","NA","5.6","0","NA","","3","","","NA","974.4","0.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","-7.8","21","NA","9.0","21","-39.4","1","","","NA","3.2","26","NA","","2","","","NA","258.2","0.0"
"-113.950","52.750","DAKOTA WEST","3011953","AB","-8.2","0","1.6","14.5","0","-38.0","0","17.8","0","82.0","17.8","0","79.0","12.0","5","","","NA","813.0","0.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","-10.1","1","NA","12.5","1","-34.2","0","","","NA","4.2","8","NA","","2","","","NA","844.1","0.0"
"-112.351","52.517","DONALDA SOUTH","3012095","AB","-11.0","0","NA","8.5","0","-42.0","0","11.5","0","NA","13.3","0","NA","2.0","4","","","NA","897.9","0.0"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","-11.9","5","NA","7.5","4","-30.8","3","","","NA","5.9","15","NA","","3","","","NA","777.8","0.0"
"-113.521","53.573","EDMONTON CITY CENTRE AWOS","3012202","AB","-10.5","0","NA","9.3","0","-33.3","0","","","NA","18.5","1","NA","","9","","","NA","884.4","0.0"
"-113.583","53.317","EDMONTON INT'L A","3012205","AB","-13.2","0","-1.1","6.9","0","-41.9","0","17.8","0","82.0","18.8","0","90.0","18.0","7","","","NA","966.4","0.0"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","-13.1","0","NA","7.3","0","-42.2","0","23.0","23","NA","7.6","0","NA","14.0","2","","","NA","963.0","0.0"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","-10.6","0","NA","9.0","0","-33.0","0","","","NA","","","NA","17.0","","","","NA","885.4","0.0"
"-113.467","53.667","EDMONTON NAMAO AWOS A","3012212","AB","-12.4","0","NA","7.9","0","-38.7","0","","","NA","16.0","0","NA","","6","","","NA","942.2","0.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","-9.9","0","0.0","10.8","0","-34.5","0","35.6","0","150.0","28.6","0","133.0","20.0","7","","","NA","866.2","0.0"
"-113.750","53.417","EDMONTON WOODBEND","3012230","AB","-11.1","0","-0.1","10.0","0","-40.0","0","24.1","0","102.0","24.3","0","98.0","22.0","10","","","NA","903.6","0.0"
"-113.364","53.660","EDMONTON GARRISON","3012233","AB","","","NA","","","","","42.0","15","NA","42.0","15","NA","","8","","","NA","",""
"-113.619","53.471","EDMONTON SMITH WATER TREATMENT","3012234","AB","","","NA","","","","","16.0","24","NA","16.0","24","NA","","5","","","NA","",""
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","-12.2","0","-0.2","11.4","0","-40.9","0","14.0","24","NA","40.9","0","225.0","28.0","7","","","NA","936.7","0.0"
"-111.000","52.967","FABYAN","3012515","AB","-14.3","2","-0.2","8.0","2","-38.0","1","17.8","2","NA","17.8","2","NA","0.0","4","","","NA","937.6","0.0"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","-9.8","4","NA","8.3","3","-34.0","4","","","NA","11.3","7","NA","","2","","","NA","751.5","0.0"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","-9.9","0","0.3","8.5","0","-37.5","0","6.4","0","40.0","8.2","0","49.0","0.0","4","","","NA","864.4","0.0"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","-9.3","4","NA","8.1","4","-37.0","1","","","NA","2.4","17","NA","","1","","","NA","735.8","0.0"
"-113.183","53.717","FORT SASKATCHEWAN","3012710","AB","-13.8","5","-1.8","8.0","5","-40.5","5","30.5","5","NA","30.5","5","NA","","8","","","NA","826.5","0.0"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","-14.5","0","NA","8.3","0","-37.8","0","","","NA","9.4","5","NA","","5","","","NA","1006.9","0.0"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","-10.3","0","NA","12.7","0","-38.3","0","","","NA","14.2","5","NA","","5","","","NA","877.8","0.0"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","-10.7","2","NA","6.7","2","-35.8","1","","","NA","6.4","7","NA","","2","","","NA","833.7","0.0"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","-13.4","0","NA","6.3","0","-39.5","0","","","NA","3.4","2","NA","","0","","","NA","974.4","0.0"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","-13.5","0","NA","7.8","0","-40.2","0","","","NA","20.8","2","NA","","9","","","NA","976.5","0.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","-13.9","0","NA","6.2","0","-37.5","0","","","NA","5.5","3","NA","","2","","","NA","987.5","0.0"
"-111.083","52.467","HUGHENDEN SW","3013363","AB","","","NA","","","","","4.0","30","NA","4.0","30","NA","","1","","","NA","",""
"-111.872","52.848","KILLAM AGDM","3013640","AB","-13.7","0","NA","6.9","0","-39.8","0","","","NA","22.9","4","NA","","11","","","NA","983.0","0.0"
"-111.113","52.290","KESSLER AGCM","3013644","AB","-11.5","4","NA","8.7","4","-37.8","0","","","NA","5.3","12","NA","","2","","","NA","796.1","0.0"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","-14.1","6","NA","5.6","6","-36.9","0","","","NA","9.1","19","NA","","4","","","NA","802.5","0.0"
"-113.474","54.003","LEGAL AGCM","3013790","AB","-12.3","1","NA","7.9","1","-38.8","0","","","NA","13.6","3","NA","","5","","","NA","908.6","0.0"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","-15.8","0","NA","9.2","0","-41.1","0","","","NA","35.4","9","NA","","12","","","NA","1047.6","0.0"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","-15.5","0","-1.3","5.8","0","-37.0","0","27.4","0","161.0","27.0","0","171.0","30.0","8","","","NA","1039.7","0.0"
"-112.267","53.083","HOLDEN SOUTH","3013C44","AB","","","NA","","","","","14.0","1","NA","16.0","1","NA","0.0","6","","","NA","",""
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","-13.9","0","NA","9.9","0","-38.1","0","","","NA","8.4","6","NA","","2","","","NA","989.9","0.0"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","9.0","0","50.0","10.2","0","53.0","0.0","3","","","NA","",""
"-112.300","53.567","MUNDARE AGDM","3014665","AB","-12.6","0","NA","9.1","0","-38.3","0","","","NA","20.5","9","NA","","5","","","NA","948.4","0.0"
"-111.114","53.720","MYRNAM AGCM","3014690","AB","-15.8","2","NA","8.7","2","-42.8","1","","","NA","18.0","8","NA","","5","","","NA","979.3","0.0"
"-113.165","53.262","NEW SEREPTA AGCM","3014795","AB","-12.1","0","NA","9.5","0","-38.6","0","","","NA","10.5","4","NA","","2","","","NA","932.6","0.0"
"-113.350","53.650","OLIVER AGDM","3014921","AB","-12.1","0","NA","10.3","0","-42.3","0","","","NA","43.7","4","NA","","14","","","NA","933.2","0.0"
"-112.879","53.995","RADWAY AGCM","3015346","AB","-13.7","2","NA","7.3","2","-38.7","1","","","NA","94.1","7","NA","","17","","","NA","919.5","0.0"
"-111.733","53.417","RANFURLY 2NW","3015405","AB","-13.4","0","0.3","23.5","0","-41.0","0","36.0","0","171.0","36.0","0","164.0","25.0","7","","","NA","974.5","0.0"
"-110.343","52.587","RIBSTONE SOUTH AGCM","3015480","AB","-13.1","3","NA","7.7","3","-34.5","3","","","NA","12.3","9","NA","","4","","","NA","869.8","0.0"
"-110.102","53.019","RIVERCOURSE AGCM","3015501","AB","-15.5","0","NA","5.8","0","-38.0","0","","","NA","12.3","5","NA","","5","","","NA","1039.7","0.0"
"-114.912","52.421","ROCKY MTN HOUSE (AUT)","3015523","AB","-11.4","0","NA","11.6","0","-38.2","0","","","NA","14.7","0","NA","","4","","","NA","912.9","0.0"
"-112.428","52.780","ROSALIND AGCM","3015600","AB","-12.1","2","NA","6.2","1","-37.9","1","","","NA","10.8","9","NA","","3","","","NA","873.4","0.0"
"-111.450","54.300","ST LINA","3015672","AB","-15.1","0","-0.7","11.0","0","-40.0","0","29.2","0","124.0","29.2","0","123.0","","10","","","NA","1026.9","0.0"
"-111.453","54.282","ST. LINA AGCM","3015673","AB","-14.1","6","NA","10.9","6","-35.0","6","","","NA","13.0","14","NA","","4","","","NA","802.2","0.0"
"-111.272","54.011","ST. PAUL AGCM","3015676","AB","-16.3","0","NA","4.9","0","-41.6","0","","","NA","29.0","4","NA","","11","","","NA","1064.5","0.0"
"-110.755","51.590","SEDALIA AGCM","3015797","AB","-13.9","2","NA","5.2","2","-37.1","0","","","NA","1.7","8","NA","","0","","","NA","925.7","0.0"
"-111.700","52.783","SEDGEWICK TOWN","3015808","AB","-8.0","13","5.4","8.0","13","-29.0","11","11.0","13","NA","11.0","13","NA","0.0","4","","","NA","468.7","0.0"
"-112.539","53.333","SHONTS AGCM","3015900","AB","-13.0","0","NA","9.0","0","-41.8","0","","","NA","9.1","5","NA","","3","","","NA","962.4","0.0"
"-112.499","54.278","SMOKY LAKE AGDM","3016022","AB","-14.8","0","NA","8.8","0","-43.0","0","","","NA","100.7","6","NA","","16","","","NA","1017.0","0.0"
"-111.683","51.816","SPONDIN AGCM","3016070","AB","-10.4","3","NA","6.6","3","-36.6","3","","","NA","0.4","12","NA","","0","","","NA","794.8","0.0"
"-112.596","52.347","STETTLER AGDM","3016124","AB","-10.9","0","NA","6.4","0","-34.1","0","","","NA","6.7","4","NA","","2","","","NA","896.8","0.0"
"-113.895","53.217","THORSBY AGCM","3016441","AB","-10.3","8","NA","8.9","8","-39.3","4","","","NA","6.2","21","NA","","2","","","NA","650.8","0.0"
"-112.750","53.550","TOFIELD NORTH","3016494","AB","-11.1","0","-0.5","10.5","0","-40.0","0","21.0","0","110.0","22.0","0","111.0","0.0","10","","","NA","903.6","0.0"
"-114.718","53.439","TOMAHAWK AGDM","3016505","AB","-9.7","0","NA","15.9","0","-35.0","0","","","NA","11.2","10","NA","","4","","","NA","859.6","0.0"
"-110.081","53.664","TULLIBY LAKE AGCM","3016593","AB","-17.5","0","NA","6.1","0","-42.3","0","","","NA","7.9","10","NA","","2","","","NA","1100.1","0.0"
"-113.033","53.500","UNCAS","3016650","AB","","","NA","","","","","26.7","0","NA","30.4","0","NA","35.0","11","","","NA","",""
"-111.678","53.625","TWO HILLS AGDM","3016655","AB","-13.9","0","NA","5.6","0","-36.8","0","","","NA","11.5","2","NA","","3","","","NA","990.0","0.0"
"-110.882","53.344","VERMILION AGDM","3016802","AB","-15.1","0","NA","7.0","0","-39.2","0","","","NA","12.8","5","NA","","5","","","NA","1027.0","0.0"
"-111.732","53.182","VIKING AGCM","3016841","AB","-12.6","4","NA","6.5","4","-36.7","2","","","NA","5.5","10","NA","","2","","","NA","825.8","0.0"
"-111.767","53.283","VIKING NORTH 3","3016845","AB","-13.9","0","NA","5.0","0","-38.5","0","21.0","0","NA","7.0","0","NA","41.0","1","","","NA","989.4","0.0"
"-111.921","54.130","VILNA AGCM","3016852","AB","-15.2","0","NA","6.0","0","-44.0","0","","","NA","17.0","4","NA","","5","","","NA","1028.4","0.0"
"-115.126","53.144","VIOLET GROVE CS","3016860","AB","-7.9","0","NA","14.9","0","-34.4","0","46.0","19","NA","15.2","0","NA","16.0","5","","","NA","802.0","0.0"
"-112.098","53.505","VEGREVILLE","3016GF0","AB","-14.7","0","-1.4","7.8","0","-42.7","0","","","NA","19.3","0","128.0","21.0","4","","","NA","1013.8","0.0"
"-113.444","52.980","WETASKIWIN AGCM","3017282","AB","-10.8","1","NA","9.7","1","-40.0","0","","","NA","10.2","10","NA","","4","","","NA","862.6","0.0"
"-114.108","53.547","EDMONTON STONY PLAIN CS","301A001","AB","-10.0","0","NA","11.0","0","-34.3","0","","","NA","20.6","0","NA","19.0","6","","","NA","867.1","0.0"
"-110.206","51.670","ESTHER 1","301B460","AB","-12.3","0","NA","7.1","0","-36.8","0","","","NA","2.0","0","NA","","0","","","NA","938.0","0.0"
"-115.200","52.400","HORBURG","301C3D4","AB","-3.2","0","4.4","25.0","0","-31.0","0","10.7","0","38.0","10.8","0","39.0","0.0","3","","","NA","657.7","0.0"
"-113.533","53.517","UNIVERSITY OF ALBERTA METABOLIC CENTRE","301FFNJ","AB","-9.4","11","2.2","9.0","7","-34.0","7","20.5","6","NA","20.5","0","141.0","0.0","7","","","NA","548.7","0.0"
"-111.096","52.829","WAINWRIGHT CFB AIRFIELD 21","301S001","AB","-14.2","0","NA","7.5","0","-40.2","0","","","NA","5.4","0","NA","","2","","","NA","998.4","0.0"
"-113.357","51.379","BEISEKER AGCM","3020610","AB","-11.4","1","NA","6.7","1","-37.9","0","","","NA","4.7","11","NA","","2","","","NA","882.9","0.0"
"-112.803","51.998","BIG VALLEY AGCM","3020679","AB","-10.8","2","NA","10.5","2","-35.3","0","","","NA","6.7","6","NA","","2","","","NA","834.0","0.0"
"-112.252","51.775","CRAIGMYLE AGCM","3021912","AB","-12.0","2","NA","6.5","2","-36.7","0","","","NA","5.3","6","NA","","1","","","NA","870.8","0.0"
"-112.283","51.767","CRAIGMYLE","3021940","AB","-11.9","0","-0.5","6.0","0","-37.0","0","24.6","0","171.0","24.6","0","171.0","0.0","6","","","NA","926.2","0.0"
"-114.391","52.285","ECKVILLE SOUTH","3022159","AB","-9.5","0","0.6","10.0","0","-35.5","0","20.4","0","97.0","20.4","0","97.0","0.0","5","","","NA","851.9","0.0"
"-112.677","51.445","DRUMHELLER EAST","30221LG","AB","-13.0","0","NA","8.7","0","-37.1","0","","","NA","","","NA","","","","","NA","962.5","0.0"
"-112.189","50.950","GEM","3022772","AB","-11.2","0","0.0","6.0","0","-36.0","0","16.6","0","156.0","16.6","0","146.0","10.0","4","","","NA","906.5","0.0"
"-114.486","52.310","HESPERO AGCM","3023200","AB","-10.8","0","NA","9.4","0","-37.7","0","","","NA","11.0","5","NA","","2","","","NA","892.7","0.0"
